user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
Solicito o detalhamento do procedimento institucional para que discentes possam efetuar a assinatura de documentos eletrônicos via PEN Suap.,"['Tutorial para que os alunos possam assinar documentos no PEN Suap Lembre-se de que, para utilizar o PEN Suap, é necessário ter um cadastro ativo e estar vinculado a uma instituição de ensino que utilize a plataforma. Além disso, é importante seguir as orientações de segurança e manter suas informações de login em segurança. 1º PASSO: Para acessar o Suap, o discente deve seguir o primeiro passo, que é realizar a conexão com o Suap-EDU. Para isso, é necessário inserir as suas credenciais de login, que consistem em um usuário e senha previamente cadastrados no sistema. 2º PASSO: Na página inicial do Suap, procure no canto superior esquerdo um alerta informando que há um documento eletrônico aguardando sua assinatura. Clique no alerta para acessar o documento\n\n. 8. Disponível em: https://www.ifpi.edu.br/pen-suap/manuais/manual-pen-suap-para-o-operador-modulo-documento-eletronico/view IMPORTANTE: QUEM PODE ASSINAR? Os Egressos, Pessoa Física e Pessoa Jurídica(representante) terão a permissão apenas para “assinar” documentos internos/nato digitais. Exemplos de documentos internos/nato digitais: • Acordos; • Contratos; • Atas; • Outros afins. ACESSE AS INSTRUÇÕES: Fonte: https://www.ifpi.edu.br/pen-suap/manuais COMO SOLICITAR O CADASTRO DE USUÁRIOS EXTERNOS PARA ASSINATURA DE DOCUMENTOS INTERNOS PARA O MÓDULO DE DOCUMENTOS ELETRÔNICOS? Acesse: https://suap.ifpi.edu.br/centralservicos/listar_area_servico/ O QUE PODE SER FEITO PELA CENTRAL DE SERVIÇOS > PRESTADOR: Acesse o link: https://suap.ifpi.edu\n\nObjetivo: Fornecer instruções claras e precisas para que o usuário externo possa assinar digitalmente um documento no PEN Suap, seguindo um passo a passo simples e fácil de entender. 1º PASSO: O usuário deverá acessar o SUAP (acesse aqui) utilizando sua conta do G o v . B R . 2º PASSO: O usuário deverá realizar o login através do portal do G o v . B R . Para isso, será necessário informar o número do CPF como usuário e, em seguida, clicar em Continuar. O sistema redirecionará o usuário para a página de autenticação do G o v . B R . 3º PASSO: Na tela seguinte, o usuário deverá digitar a sua senha cadastrada no G o v . B R e clicar em ""Entrar"" para acessar o SUAP']","1. Acesse o Suap utilizando suas credenciais de login.
2. Procure o alerta na página inicial indicando um documento aguardando assinatura e clique nele para acessar o documento.
3. Siga as orientações específicas do documento para realizar a assinatura eletrônica.","Para que os discentes possam assinar documentos eletrônicos no PEN Suap, eles devem primeiramente realizar a conexão com o Suap-EDU utilizando suas credenciais. Em seguida, na página inicial, devem localizar e clicar no alerta que informa a existência de um documento eletrônico aguardando assinatura. Após visualizar o documento clicando na lupa na coluna 'Ações', o discente deve clicar no botão 'Assinar' no canto superior direito para iniciar o processo, definir um identificador e, por fim, autenticar a assinatura com a senha do Suap-Edu.",0.9999999999,1.0,0.6666666666666666,0.7420693826974828
Quais são os pré-requisitos formais para que um discente esteja apto a utilizar a funcionalidade de assinatura no PEN Suap?,"['Tutorial para que os alunos possam assinar documentos no PEN Suap Lembre-se de que, para utilizar o PEN Suap, é necessário ter um cadastro ativo e estar vinculado a uma instituição de ensino que utilize a plataforma. Além disso, é importante seguir as orientações de segurança e manter suas informações de login em segurança. 1º PASSO: Para acessar o Suap, o discente deve seguir o primeiro passo, que é realizar a conexão com o Suap-EDU. Para isso, é necessário inserir as suas credenciais de login, que consistem em um usuário e senha previamente cadastrados no sistema. 2º PASSO: Na página inicial do Suap, procure no canto superior esquerdo um alerta informando que há um documento eletrônico aguardando sua assinatura. Clique no alerta para acessar o documento\n\n. 8. Disponível em: https://www.ifpi.edu.br/pen-suap/manuais/manual-pen-suap-para-o-operador-modulo-documento-eletronico/view IMPORTANTE: QUEM PODE ASSINAR? Os Egressos, Pessoa Física e Pessoa Jurídica(representante) terão a permissão apenas para “assinar” documentos internos/nato digitais. Exemplos de documentos internos/nato digitais: • Acordos; • Contratos; • Atas; • Outros afins. ACESSE AS INSTRUÇÕES: Fonte: https://www.ifpi.edu.br/pen-suap/manuais COMO SOLICITAR O CADASTRO DE USUÁRIOS EXTERNOS PARA ASSINATURA DE DOCUMENTOS INTERNOS PARA O MÓDULO DE DOCUMENTOS ELETRÔNICOS? Acesse: https://suap.ifpi.edu.br/centralservicos/listar_area_servico/ O QUE PODE SER FEITO PELA CENTRAL DE SERVIÇOS > PRESTADOR: Acesse o link: https://suap.ifpi.edu\n\nObjetivo: Fornecer instruções claras e precisas para que o usuário externo possa assinar digitalmente um documento no PEN Suap, seguindo um passo a passo simples e fácil de entender. 1º PASSO: O usuário deverá acessar o SUAP (acesse aqui) utilizando sua conta do G o v . B R . 2º PASSO: O usuário deverá realizar o login através do portal do G o v . B R . Para isso, será necessário informar o número do CPF como usuário e, em seguida, clicar em Continuar. O sistema redirecionará o usuário para a página de autenticação do G o v . B R . 3º PASSO: Na tela seguinte, o usuário deverá digitar a sua senha cadastrada no G o v . B R e clicar em ""Entrar"" para acessar o SUAP']","Os pré-requisitos formais para que um discente esteja apto a utilizar a funcionalidade de assinatura no PEN Suap são: ter um cadastro ativo no sistema, estar vinculado a uma instituição de ensino que utilize a plataforma, seguir as orientações de segurança e manter suas informações de login em segurança.","Para utilizar o PEN Suap, o discente deve possuir um cadastro ativo e estar vinculado a uma instituição de ensino que utilize a plataforma.",0.9999999999,1.0,1.0,0.9968013975458003
Qual é o primeiro passo que um discente deve seguir para acessar o Suap-EDU com o propósito de assinar um documento?,"['Tutorial para que os alunos possam assinar documentos no PEN Suap Lembre-se de que, para utilizar o PEN Suap, é necessário ter um cadastro ativo e estar vinculado a uma instituição de ensino que utilize a plataforma. Além disso, é importante seguir as orientações de segurança e manter suas informações de login em segurança. 1º PASSO: Para acessar o Suap, o discente deve seguir o primeiro passo, que é realizar a conexão com o Suap-EDU. Para isso, é necessário inserir as suas credenciais de login, que consistem em um usuário e senha previamente cadastrados no sistema. 2º PASSO: Na página inicial do Suap, procure no canto superior esquerdo um alerta informando que há um documento eletrônico aguardando sua assinatura. Clique no alerta para acessar o documento\n\n. Aqui, localize o botão ""Definir Identificador"" e clique nele. Isso permitirá que você crie um identificador exclusivo que será usado para assinar o documento. 6º PASSO: Na próxima tela, você precisará inserir sua senha de acesso ao Suap-Edu para autenticar sua assinatura. Digite sua senha no campo fornecido e clique em "" Assinar Documento "". Certifique-se de verificar todas as informações na tela antes de assinar o documento, pois não será possível fazer alterações após a assinatura. 7º PASSO: Parabéns! Agora o documento foi assinado com sucesso e está pronto. Certifique-se de verificar se todas as informações estão corretas e de salvar uma cópia para seus registros. Lembre-se de manter suas informações de acesso seguras e não compartilhá-las com ninguém.\n\n. A seguir são apresentados os passos para a importação do certificado digital ICPEdu para o SUAP. 1º PASSO: Acessar o sistema SUAP pelo link https://suap.ifpi.edu.br/ . Em seguida navegar no menu esquerdo pelo caminho TEC. DA INFORMAÇÃO -> Serviços -> Assinatura Digital -> Certificados Digitais, como mostra a imagem abaixo. OBSERVAÇÃO: Caso essa opção não esteja disponível, é provável que o usuário não possui um dos seguintes perfis: Reitor, Diretor Geral ou Coordenador de Registros Acadêmicos. Para resolver esse problema, abra um chamado na central de serviços como mostra o tutorial Abrindo chamados na Central de Serviços solicitando a adição do perfil necessário para ter acesso a essa funcionalidade']",O primeiro passo que um discente deve seguir para acessar o Suap-EDU com o propósito de assinar um documento é realizar a conexão com o Suap-EDU inserindo suas credenciais de login (usuário e senha previamente cadastrados no sistema).,"O discente deve realizar a conexão com o Suap-EDU, inserindo suas credenciais de login (usuário e senha) previamente cadastradas no sistema.",0.9999999999,1.0,0.6666666666666666,0.9868408442387514
"Após o acesso ao Suap, como o discente deve proceder para localizar um documento eletrônico que requer sua assinatura?","['Tutorial para que os alunos possam assinar documentos no PEN Suap Lembre-se de que, para utilizar o PEN Suap, é necessário ter um cadastro ativo e estar vinculado a uma instituição de ensino que utilize a plataforma. Além disso, é importante seguir as orientações de segurança e manter suas informações de login em segurança. 1º PASSO: Para acessar o Suap, o discente deve seguir o primeiro passo, que é realizar a conexão com o Suap-EDU. Para isso, é necessário inserir as suas credenciais de login, que consistem em um usuário e senha previamente cadastrados no sistema. 2º PASSO: Na página inicial do Suap, procure no canto superior esquerdo um alerta informando que há um documento eletrônico aguardando sua assinatura. Clique no alerta para acessar o documento\n\n. B R . 3º PASSO: Na tela seguinte, o usuário deverá digitar a sua senha cadastrada no G o v . B R e clicar em ""Entrar"" para acessar o SUAP . 4º PASSO: Ao acessar a página inicial do SUAP , o usuário será notificado com uma mensagem informando que há um Documento Eletrônico aguardando assinatura na seção ""ATRIBUÍDOS A MIM"" . Clique sobre a mensagem para acessar o documento e realizar a assinatura eletrônica. 5º PASSO: Na tela seguinte, o usuário deve clicar no ícone de lupa, localizado na coluna ""Ações"" , ao lado do documento que deseja assinar, para acessar a tela de assinatura. 6º PASSO: Após ler o conteúdo do documento, o usuário deve clicar no botão ""Assinar"" e, em seguida, selecionar a opção assinar ""Com G o v\n\n. Aqui, localize o botão ""Definir Identificador"" e clique nele. Isso permitirá que você crie um identificador exclusivo que será usado para assinar o documento. 6º PASSO: Na próxima tela, você precisará inserir sua senha de acesso ao Suap-Edu para autenticar sua assinatura. Digite sua senha no campo fornecido e clique em "" Assinar Documento "". Certifique-se de verificar todas as informações na tela antes de assinar o documento, pois não será possível fazer alterações após a assinatura. 7º PASSO: Parabéns! Agora o documento foi assinado com sucesso e está pronto. Certifique-se de verificar se todas as informações estão corretas e de salvar uma cópia para seus registros. Lembre-se de manter suas informações de acesso seguras e não compartilhá-las com ninguém.']","1. Na página inicial do Suap, procure no canto superior esquerdo um alerta informando que há um documento eletrônico aguardando sua assinatura.
2. Clique no alerta para acessar o documento.
3. Na tela seguinte, clique sobre a mensagem que informa que há um Documento Eletrônico aguardando assinatura na seção ""ATRIBUÍDOS A MIM"" para acessar o documento e realizar a assinatura eletrônica.","Na página inicial do Suap, o discente deve procurar no canto superior esquerdo um alerta indicando a existência de um documento eletrônico aguardando sua assinatura e clicar nele para acessá-lo.",0.9999999999,1.0,1.0,0.7612662872705119
"Após a visualização do documento, qual é a ação subsequente para iniciar o processo de assinatura por parte do discente?","['. Clique no alerta para acessar o documento. Certifique-se de verificar todas as informações do documento antes de prosseguir com a assinatura. 3º PASSO: Na página de Documentos de Texto, localize a Lupa na coluna ""Ações"" ao lado do documento que você deseja visualizar e clique nela. 4º PASSO: Na página seguinte, você verá o documento que precisa ser assinado. Localize o botão ""Assinar"" que fica no canto superior direito. Clique nele para iniciar o processo de assinatura. Certifique-se de seguir todas as instruções na tela com atenção e de fornecer todas as informações necessárias antes de concluir o processo de assinatura."" 5º PASSO: Depois de clicar em ""Assinar com senha"", você será redirecionado para a próxima tela. Aqui, localize o botão ""Definir Identificador"" e clique nele\n\n. Aqui, localize o botão ""Definir Identificador"" e clique nele. Isso permitirá que você crie um identificador exclusivo que será usado para assinar o documento. 6º PASSO: Na próxima tela, você precisará inserir sua senha de acesso ao Suap-Edu para autenticar sua assinatura. Digite sua senha no campo fornecido e clique em "" Assinar Documento "". Certifique-se de verificar todas as informações na tela antes de assinar o documento, pois não será possível fazer alterações após a assinatura. 7º PASSO: Parabéns! Agora o documento foi assinado com sucesso e está pronto. Certifique-se de verificar se todas as informações estão corretas e de salvar uma cópia para seus registros. Lembre-se de manter suas informações de acesso seguras e não compartilhá-las com ninguém.\n\n. Localize o Candidato e clique no botão Documentação do Aluno Visualize a documentação enviada pelo aluno clicando em Documentação Caso a documentação esteja em conformidade , retorne a página da inscrição do aluno e registre a entrega da documentação selecionando o aluno e clicando em Ação >> Registrar entrega de documentação >> Aplicar Registre a data da entrega e clique em Enviar Se toda documentação for entregue e realizado o registro acima, você poderá avançar para a próxima etapa: Visualizar respostas do aluno no Formulário de Caracterização/Inscrição Caso seja identificado alguma pendência na documentação, você poderá possibilitar ao aluno o reenvio do arquivo, alterando o parecer para Pendente de Documentação clicando em adicionar parecer > Pendente de documentação > Salvar']","1. Localize o botão ""Assinar"" na página do documento.
2. Clique no botão ""Assinar"" para iniciar o processo de assinatura.
3. Siga todas as instruções na tela e forneça as informações necessárias.
4. Clique em ""Assinar com senha"" e em seguida clique no botão ""Definir Identificador"".
5. Insira sua senha de acesso ao Suap-Edu e clique em ""Assinar Documento"".","Na página do documento, o discente deve localizar e clicar no botão 'Assinar', que se encontra no canto superior direito, para iniciar o processo.",0.9999999999,1.0,0.4,0.6996554360527106
É possível realizar alterações em um documento eletrônico no Suap após a sua assinatura ser autenticada pelo discente?,"['. Aqui, localize o botão ""Definir Identificador"" e clique nele. Isso permitirá que você crie um identificador exclusivo que será usado para assinar o documento. 6º PASSO: Na próxima tela, você precisará inserir sua senha de acesso ao Suap-Edu para autenticar sua assinatura. Digite sua senha no campo fornecido e clique em "" Assinar Documento "". Certifique-se de verificar todas as informações na tela antes de assinar o documento, pois não será possível fazer alterações após a assinatura. 7º PASSO: Parabéns! Agora o documento foi assinado com sucesso e está pronto. Certifique-se de verificar se todas as informações estão corretas e de salvar uma cópia para seus registros. Lembre-se de manter suas informações de acesso seguras e não compartilhá-las com ninguém.\n\nTutorial para que os alunos possam assinar documentos no PEN Suap Lembre-se de que, para utilizar o PEN Suap, é necessário ter um cadastro ativo e estar vinculado a uma instituição de ensino que utilize a plataforma. Além disso, é importante seguir as orientações de segurança e manter suas informações de login em segurança. 1º PASSO: Para acessar o Suap, o discente deve seguir o primeiro passo, que é realizar a conexão com o Suap-EDU. Para isso, é necessário inserir as suas credenciais de login, que consistem em um usuário e senha previamente cadastrados no sistema. 2º PASSO: Na página inicial do Suap, procure no canto superior esquerdo um alerta informando que há um documento eletrônico aguardando sua assinatura. Clique no alerta para acessar o documento\n\n. 8. Disponível em: https://www.ifpi.edu.br/pen-suap/manuais/manual-pen-suap-para-o-operador-modulo-documento-eletronico/view IMPORTANTE: QUEM PODE ASSINAR? Os Egressos, Pessoa Física e Pessoa Jurídica(representante) terão a permissão apenas para “assinar” documentos internos/nato digitais. Exemplos de documentos internos/nato digitais: • Acordos; • Contratos; • Atas; • Outros afins. ACESSE AS INSTRUÇÕES: Fonte: https://www.ifpi.edu.br/pen-suap/manuais COMO SOLICITAR O CADASTRO DE USUÁRIOS EXTERNOS PARA ASSINATURA DE DOCUMENTOS INTERNOS PARA O MÓDULO DE DOCUMENTOS ELETRÔNICOS? Acesse: https://suap.ifpi.edu.br/centralservicos/listar_area_servico/ O QUE PODE SER FEITO PELA CENTRAL DE SERVIÇOS > PRESTADOR: Acesse o link: https://suap.ifpi.edu']",Não será possível fazer alterações em um documento eletrônico no Suap após a sua assinatura ser autenticada pelo discente.,"Não, após a autenticação da assinatura com a senha do Suap-Edu, não será possível fazer alterações no documento.",0.9999999999,1.0,1.0,0.9980158808194751
"Após clicar em 'Assinar com senha', qual é a etapa para que o discente crie o identificador exclusivo para a assinatura do documento?","['. Aqui, localize o botão ""Definir Identificador"" e clique nele. Isso permitirá que você crie um identificador exclusivo que será usado para assinar o documento. 6º PASSO: Na próxima tela, você precisará inserir sua senha de acesso ao Suap-Edu para autenticar sua assinatura. Digite sua senha no campo fornecido e clique em "" Assinar Documento "". Certifique-se de verificar todas as informações na tela antes de assinar o documento, pois não será possível fazer alterações após a assinatura. 7º PASSO: Parabéns! Agora o documento foi assinado com sucesso e está pronto. Certifique-se de verificar se todas as informações estão corretas e de salvar uma cópia para seus registros. Lembre-se de manter suas informações de acesso seguras e não compartilhá-las com ninguém.\n\n. Clique no alerta para acessar o documento. Certifique-se de verificar todas as informações do documento antes de prosseguir com a assinatura. 3º PASSO: Na página de Documentos de Texto, localize a Lupa na coluna ""Ações"" ao lado do documento que você deseja visualizar e clique nela. 4º PASSO: Na página seguinte, você verá o documento que precisa ser assinado. Localize o botão ""Assinar"" que fica no canto superior direito. Clique nele para iniciar o processo de assinatura. Certifique-se de seguir todas as instruções na tela com atenção e de fornecer todas as informações necessárias antes de concluir o processo de assinatura."" 5º PASSO: Depois de clicar em ""Assinar com senha"", você será redirecionado para a próxima tela. Aqui, localize o botão ""Definir Identificador"" e clique nele\n\n. 6º PASSO: Após ler o conteúdo do documento, o usuário deve clicar no botão ""Assinar"" e, em seguida, selecionar a opção assinar ""Com G o v . B R "" , conforme demonstrado na imagem abaixo: 7º PASSO: Na tela de Assinatura de Documento, o usuário deverá selecionar o * Perfil de Usuário Externo. Em seguida, terá a opção de receber o código de verificação através do aplicativo do G o v . B R (requer instalação prévia no Smartphone) ou por e-mail cadastrado no G o v . B R . Ao receber o código, o usuário deverá inseri-lo no campo de * código de verificação e clicar em ""Assinar Documento - G o v . B R ""']","1. Na próxima tela, o discente deve localizar o botão ""Definir Identificador"" e clicar nele.","O discente será redirecionado para uma nova tela, onde deverá localizar e clicar no botão 'Definir Identificador' para criar seu identificador exclusivo.",0.9999999999,1.0,0.5,0.3597243849232678
Qual é o procedimento inicial para acessar a funcionalidade de Consulta Pública de Processos Eletrônicos no Suap?,"['Passo 01 : Na página inicial do Suap, acessada em suap.ifpi.edu.br , vá até o menu lateral esquerdo e clique em Processos Eletrônicos. Essa funcionalidade também está disponível no portal institucional ifpi.edu.br , no menu Consulta de Processos https://www.ifpi.edu.br/consulta-de-processos , opção Consulta de processos eletrônicos. Passo 02 : Na página digite os dados do processo que você deseja consultar. Será exigido pelo módulo pelo menos um campo preenchido. O usuário poderá fazer a pesquisa com o Número do processo , o Tipo de processo ou mesmo o Assunto , nesse último caso o campo de consulta deverá ser preenchido com no mínimo três palavras\n\n. Por fim, selecione o perfil apropriado, assine com a senha de acesso ao Suap e clique no botão "" ENVIAR "". 7º PASSO: Você será redirecionado para a página com todas as solicitações, e nessa parte da página será exibido o número do processo gerado, conforme ilustrado na imagem abaixo: 8º PASSO: Pronto! O procedimento foi realizado com sucesso, e o processo foi enviado para o setor selecionado pelo usuário inicialmente. Caso você precise visualizar com mais detalhes, basta clicar na lupa, e você será direcionado para a tela com toda a análise, conforme ilustrado na imagem abaixo:\n\n. Clique em Não sou um robô e depois clique em Enviar para consultar Passo 03: Na tela abaixo são listados todos os processos pesquisados pelo usuário, onde pode visualizar o processo com mais detalhes dos trâmites, documentos e a opção “visualizar processo”. OBSERVAÇÃO: processos que contenham documentos públicos serão visualizados na integralidade, contudo, caso contenham documentos restritos, com hipótese legal justificada, a visualização do processo será parcial, sendo visualizados os documentos públicos e tendo limitação de visualização para os documentos restritos. O módulo SUAP ainda não possui a funcionalidade de publicação de documentos restritos com uso de tarjamento nos dados sensíveis como no SEI.']","O procedimento inicial para acessar a funcionalidade de Consulta Pública de Processos Eletrônicos no Suap é acessar a página inicial do Suap em suap.ifpi.edu.br, ir até o menu lateral esquerdo e clicar em Processos Eletrônicos. Além disso, essa funcionalidade também está disponível no portal institucional ifpi.edu.br, no menu Consulta de Processos, opção Consulta de processos eletrônicos.","Na página inicial do Suap (suap.ifpi.edu.br), deve-se acessar o menu lateral esquerdo e clicar em 'Processos Eletrônicos'.",0.9999999999,1.0,0.8333333333333334,1.0
"Além do acesso direto pelo Suap, existe algum outro canal institucional para a Consulta Pública de Processos Eletrônicos?","['Passo 01 : Na página inicial do Suap, acessada em suap.ifpi.edu.br , vá até o menu lateral esquerdo e clique em Processos Eletrônicos. Essa funcionalidade também está disponível no portal institucional ifpi.edu.br , no menu Consulta de Processos https://www.ifpi.edu.br/consulta-de-processos , opção Consulta de processos eletrônicos. Passo 02 : Na página digite os dados do processo que você deseja consultar. Será exigido pelo módulo pelo menos um campo preenchido. O usuário poderá fazer a pesquisa com o Número do processo , o Tipo de processo ou mesmo o Assunto , nesse último caso o campo de consulta deverá ser preenchido com no mínimo três palavras\n\n. Clique em Não sou um robô e depois clique em Enviar para consultar Passo 03: Na tela abaixo são listados todos os processos pesquisados pelo usuário, onde pode visualizar o processo com mais detalhes dos trâmites, documentos e a opção “visualizar processo”. OBSERVAÇÃO: processos que contenham documentos públicos serão visualizados na integralidade, contudo, caso contenham documentos restritos, com hipótese legal justificada, a visualização do processo será parcial, sendo visualizados os documentos públicos e tendo limitação de visualização para os documentos restritos. O módulo SUAP ainda não possui a funcionalidade de publicação de documentos restritos com uso de tarjamento nos dados sensíveis como no SEI.\n\n. Por fim, selecione o perfil apropriado, assine com a senha de acesso ao Suap e clique no botão "" ENVIAR "". 7º PASSO: Você será redirecionado para a página com todas as solicitações, e nessa parte da página será exibido o número do processo gerado, conforme ilustrado na imagem abaixo: 8º PASSO: Pronto! O procedimento foi realizado com sucesso, e o processo foi enviado para o setor selecionado pelo usuário inicialmente. Caso você precise visualizar com mais detalhes, basta clicar na lupa, e você será direcionado para a tela com toda a análise, conforme ilustrado na imagem abaixo:']","Sim, além do acesso direto pelo Suap, é possível acessar a Consulta Pública de Processos Eletrônicos através do portal institucional ifpi.edu.br, no menu Consulta de Processos, na opção Consulta de processos eletrônicos.","Sim, essa funcionalidade também está disponível no portal institucional ifpi.edu.br, no menu 'Consulta de Processos'.",0.9999999999,1.0,1.0,0.7398937073549923
Quais são as orientações de segurança institucional que devem ser repassadas aos discentes quanto ao uso de suas credenciais de acesso ao Suap para assinatura de documentos?,"['Tutorial para que os alunos possam assinar documentos no PEN Suap Lembre-se de que, para utilizar o PEN Suap, é necessário ter um cadastro ativo e estar vinculado a uma instituição de ensino que utilize a plataforma. Além disso, é importante seguir as orientações de segurança e manter suas informações de login em segurança. 1º PASSO: Para acessar o Suap, o discente deve seguir o primeiro passo, que é realizar a conexão com o Suap-EDU. Para isso, é necessário inserir as suas credenciais de login, que consistem em um usuário e senha previamente cadastrados no sistema. 2º PASSO: Na página inicial do Suap, procure no canto superior esquerdo um alerta informando que há um documento eletrônico aguardando sua assinatura. Clique no alerta para acessar o documento\n\n. Aqui, localize o botão ""Definir Identificador"" e clique nele. Isso permitirá que você crie um identificador exclusivo que será usado para assinar o documento. 6º PASSO: Na próxima tela, você precisará inserir sua senha de acesso ao Suap-Edu para autenticar sua assinatura. Digite sua senha no campo fornecido e clique em "" Assinar Documento "". Certifique-se de verificar todas as informações na tela antes de assinar o documento, pois não será possível fazer alterações após a assinatura. 7º PASSO: Parabéns! Agora o documento foi assinado com sucesso e está pronto. Certifique-se de verificar se todas as informações estão corretas e de salvar uma cópia para seus registros. Lembre-se de manter suas informações de acesso seguras e não compartilhá-las com ninguém.\n\nO passo a passo para fazer o processo de autenticação do usuário no sistema SUAP 1º PASSO : Dependendo do caso, o usuário vai ser o SIAPE para o servidor, MATRÍCULA no caso do aluno e o CPF para os terceirizados, bolsistas e afins. 2º PASSO : O processo de autenticação sendo bem-sucedido. O acesso às funcionalidades do sistema será liberado da forma apresentada na tela abaixo, constando no menu esquerdo a foto com o nome do usuário logado e o link "" SAIR "" para fechar a sessão. Caso apareça uma tela com uma mensagem de erro, o usuário deverá rever: - A senha ou usuário estão errados; - O usuário não está cadastrado no sistema; - O usuário está inativo ou sem permissões de acessar o sistema;']",As orientações de segurança institucional que devem ser repassadas aos discentes quanto ao uso de suas credenciais de acesso ao Suap para assinatura de documentos são: manter suas informações de login em segurança e não compartilhá-las com ninguém.,"É fundamental que os discentes sigam as orientações de segurança, mantenham suas informações de login em segurança e não as compartilhem com ninguém.",0.9999999999,1.0,0.75,0.9999999999999999
